題號,題目,A,B,C,D,解答
1,React 的開發團隊是哪一家公司？,Google,Microsoft,Facebook (Meta),Apple,C
2,NES 主機是哪一年在日本發售的？,1980,1983,1985,1990,B
3,在像素風遊戲中，哪種渲染方式可以保持圖片不模糊？,Bilinear,Trilinear,Pixelated (Nearest Neighbor),Lanczos,C
4,Vite 的核心作者是誰？,Dan Abramov,Evan You,Rich Harris,Ryan Dahl,B
5,下列哪一個不是 CSS 的像素風框架？,NES.css,98.css,Pixel.css,Tailwind CSS,D
6,下列哪一個 DiceBear 的風格可以用來產生像素人物？,Avataaars,Pixel Art,Bottts,Identicon,B
7,Google Apps Script 的主要開發語言是什麼？,Python,Ruby,JavaScript,Swift,C
8,Git 的作者是誰？,Bill Gates,Linus Torvalds,Mark Zuckerberg,Steve Jobs,B
9,哪一個 HTML 標籤用於繪製 2D 圖形或像素？,<img>,<canvas>,<svg>,<div>,B
10,一個 8-bit 的顏色總共有多少種組合？,16,64,128,256,D
